email,name,password,role
aaron.roxas@gmail.com,AaronRoxas,password123,user
alexander.asinas@gmail.com,Alexander,password124,junkshop_owner
alexis26rellon@gmail.com,AlexisRellon,password125,admin
aliyah.manalo@gmail.com,Aliyah,password126,junkshop_owner
alyssa.abac@gmail.com,Alyssa,password127,user
angelo.fabian@gmail.com,Angelo,password128,junkshop_owner
ash.quinn@gmail.com,Ash,password129,user
beo.salguero@gmail.com,Beo Salguerro,password130,user
berna.alhambra@gmail.com,Berna,password131,junkshop_owner
brandon.miranda@gmail.com,Brandon,password132,user
brent.rull@gmail.com,Brent Rull,password133,user
cj.moya@gmail.com,CJ,password134,junkshop_owner
cj.rull@gmail.com,CJ Rull,password135,user
dyan.mercado@gmail.com,Dyan Paul,password136,junkshop_owner
franco.nicanor@gmail.com,Franco,password137,user
hans.bertoso@gmail.com,Hans Bertoso,password138,junkshop_owner
ian.lumanog@gmail.com,Ian Lumanog,password139,junkshop_owner
jaermaine.domingcil@gmail.com,Jaermaine,password140,user
jc.villaganas@gmail.com,JC Villaganas,password141,user
jezreel.jaynoss@gmail.com,Jezreel,password142,junkshop_owner
johann.cepeda@gmail.com,Nikkolai,password143,user
johnlloyd.delacruz@gmail.com,John Lloyd,password144,user
john.vincent@gmail.com,Vincent,password145,junkshop_owner
king.page@gmail.com,King Page,password146,admin
lorenzo.canales@gmail.com,lorenzo,password147,user
lawrence.laudato@gmail.com,Sir Lawrence,password148,user
leennel.santos@gmail.com,Leennel,password149,junkshop_owner
louis.clark@gmail.com,Louis,password150,user
mark.salazar@gmail.com,Mark Salazar,password151,user
mark.caparas@gmail.com,Mark Caparas,password152,junkshop_owner
micad.sereno@gmail.com,Mic Mic,password153,user
mielle.dulce@gmail.com,Mielle,password154,junkshop_owner
patricia.nicole@gmail.com,Patricia,password155,junkshop_owner
prince.pipen@gmail.com,Prince,password156,user
resty.cruz@gmail.com,Resty,password157,user
romuel.borja@gmail.com,Romuel,password158,junkshop_owner
valarie.lee@gmail.com,Valarie,password159,user
vince.wackie@gmail.com,Vince Wackie,password160,junkshop_owner
warren.abdon@gmail.com,Warren Abdon,password161,user
